model,synonym,target_size,mean,std,accuracy_pct,std_pct
clip-res,big,large,0.29775339602925815,0.0011772540745795543,29.775339602925815,0.11772540745795543
clip-res,huge,large,0.33586206896551724,0.0014430281236970472,33.58620689655172,0.1443028123697047
clip-res,little,small,0.4113553113553114,0.0031685230147745617,41.13553113553114,0.3168523014774562
clip-res,tiny,small,0.4695238095238095,0.0014559399297941224,46.95238095238095,0.14559399297941225
cvcl-resnext,big,large,0.1700417972831766,0.0014173763172781449,17.00417972831766,0.14173763172781448
cvcl-resnext,huge,large,0.41312434691745037,0.0006311251356548187,41.31243469174504,0.06311251356548186
cvcl-resnext,little,small,0.17432757718472006,0.0008189387821869044,17.432757718472004,0.08189387821869044
cvcl-resnext,tiny,small,0.2322553636839351,0.0008320744829011348,23.22553636839351,0.08320744829011348
siglip,big,large,0.35154649947753397,0.0014298016070840181,35.1546499477534,0.1429801607084018
siglip,huge,large,0.4939707419017764,0.0015294250747517498,49.39707419017764,0.152942507475175
siglip,little,small,0.45493458922030355,0.0004967637587150717,45.49345892203036,0.04967637587150717
siglip,tiny,small,0.5756462585034013,0.0005181326549235815,57.564625850340136,0.05181326549235815
