model,class,mean_accuracy,std,n_seeds,test_type
clip-res,abacus,0.9944444444444445,0.006938886664887101,3,TV_Color
clip-res,apple,1.0,0.0,3,TV_Color
clip-res,axe,1.0,0.0,3,TV_Color
clip-res,babushkadolls,1.0,0.0,3,TV_Color
clip-res,bagel,1.0,0.0,3,TV_Color
clip-res,ball,0.9966666666666667,0.003333333333333355,3,TV_Color
clip-res,basket,0.9977777777777778,0.001924500897298733,3,TV_Color
clip-res,bell,0.9533333333333333,0.014529663145135596,3,TV_Color
clip-res,bird,1.0,0.0,3,TV_Color
clip-res,bonzai,0.9933333333333333,0.008819171036882005,3,TV_Color
clip-res,bread,0.9655555555555555,0.013877773329774246,3,TV_Color
clip-res,butterfly,0.8977777777777778,0.010715167512214413,3,TV_Color
clip-res,calculator,1.0,0.0,3,TV_Color
clip-res,camera,1.0,0.0,3,TV_Color
clip-res,candle,1.0,0.0,3,TV_Color
clip-res,cookie,1.0,0.0,3,TV_Color
clip-res,doll,1.0,0.0,3,TV_Color
clip-res,doorknob,1.0,0.0,3,TV_Color
clip-res,dresser,1.0,0.0,3,TV_Color
clip-res,dumbell,1.0,0.0,3,TV_Color
clip-res,earrings,0.9877777777777778,0.007698003589195059,3,TV_Color
clip-res,fan,1.0,0.0,3,TV_Color
clip-res,goggle,1.0,0.0,3,TV_Color
clip-res,grill,1.0,0.0,3,TV_Color
clip-res,handbag,1.0,0.0,3,TV_Color
clip-res,handgun,1.0,0.0,3,TV_Color
clip-res,handheldgame,1.0,0.0,3,TV_Color
clip-res,headband,0.9722222222222222,0.00384900179459753,3,TV_Color
clip-res,helmet,1.0,0.0,3,TV_Color
clip-res,horse,0.9844444444444443,0.010183501544346269,3,TV_Color
clip-res,keyboard,0.9911111111111112,0.005091750772173165,3,TV_Color
clip-res,lantern,0.9255555555555555,0.016442942874387512,3,TV_Color
clip-res,lei,0.98,0.005773502691896262,3,TV_Color
clip-res,lipstick,0.9933333333333333,0.005773502691896263,3,TV_Color
clip-res,lock,0.7833333333333333,0.017320508075688787,3,TV_Color
clip-res,meat,0.9611111111111111,0.011706281947614203,3,TV_Color
clip-res,microwave,0.9966666666666667,0.003333333333333355,3,TV_Color
clip-res,muffin,0.9,0.0,3,TV_Color
clip-res,nailpolish,0.9966666666666666,0.003333333333333355,3,TV_Color
clip-res,ornament,1.0,0.0,3,TV_Color
clip-res,pen,1.0,0.0,3,TV_Color
clip-res,phone,1.0,0.0,3,TV_Color
clip-res,pillow,1.0,0.0,3,TV_Color
clip-res,pipe,1.0,0.0,3,TV_Color
clip-res,pitcher,0.888888888888889,0.020092379244472377,3,TV_Color
clip-res,powerstrip,0.9888888888888889,0.001924500897298733,3,TV_Color
clip-res,pumpkin,0.9744444444444444,0.005091750772173152,3,TV_Color
clip-res,rabbit,1.0,0.0,3,TV_Color
clip-res,ring,1.0,0.0,3,TV_Color
clip-res,saddle,0.9933333333333333,0.003333333333333355,3,TV_Color
clip-res,saltandpeppershake,1.0,0.0,3,TV_Color
clip-res,seashell,1.0,0.0,3,TV_Color
clip-res,sippycup,1.0,0.0,3,TV_Color
clip-res,sodacan,0.9977777777777778,0.001924500897298733,3,TV_Color
clip-res,stapler,1.0,0.0,3,TV_Color
clip-res,stool,0.9977777777777778,0.0038490017945975296,3,TV_Color
clip-res,suitcase,1.0,0.0,3,TV_Color
clip-res,telescope,1.0,0.0,3,TV_Color
clip-res,tennisracquet,1.0,0.0,3,TV_Color
clip-res,toothpaste,0.9955555555555554,0.005091750772173164,3,TV_Color
clip-res,train,0.9922222222222222,0.001924500897298733,3,TV_Color
clip-res,tree,1.0,0.0,3,TV_Color
clip-res,tricycle,0.9977777777777778,0.001924500897298733,3,TV_Color
clip-res,trophy,0.9988888888888888,0.001924500897298733,3,TV_Color
clip-res,trumpet,0.9811111111111112,0.006938886664887083,3,TV_Color
clip-res,vase,0.9944444444444445,0.0019245008972987971,3,TV_Color
clip-res,wineglass,0.9977777777777778,0.001924500897298733,3,TV_Color
