model,class,mean_accuracy,std,n_seeds,test_type
cvcl-resnext,abacus,0.09999999999999999,0.012000000000000004,3,TV_Color
cvcl-resnext,apple,0.1446666666666667,0.01501110699893027,3,TV_Color
cvcl-resnext,axe,0.11133333333333333,0.0211974841274462,3,TV_Color
cvcl-resnext,babushkadolls,0.11199999999999999,0.015874507866387545,3,TV_Color
cvcl-resnext,bagel,0.10266666666666667,0.0011547005383792527,3,TV_Color
cvcl-resnext,ball,0.11733333333333333,0.02081665999466133,3,TV_Color
cvcl-resnext,basket,0.13333333333333333,0.03785938897200183,3,TV_Color
cvcl-resnext,bell,0.09000000000000001,0.02433105012119288,3,TV_Color
cvcl-resnext,bird,0.11599999999999999,0.027495454169735048,3,TV_Color
cvcl-resnext,bonzai,0.08133333333333333,0.021007935008784975,3,TV_Color
cvcl-resnext,bread,0.14200000000000002,0.009165151389911674,3,TV_Color
cvcl-resnext,butterfly,0.118,0.0124899959967968,3,TV_Color
cvcl-resnext,calculator,0.09999999999999999,0.044676615807377355,3,TV_Color
cvcl-resnext,camera,0.09999999999999999,0.03504283093587047,3,TV_Color
cvcl-resnext,candle,0.10866666666666668,0.04387862045841156,3,TV_Color
cvcl-resnext,cookie,0.11266666666666665,0.027300793639257685,3,TV_Color
cvcl-resnext,doll,0.10133333333333333,0.023007245235649863,3,TV_Color
cvcl-resnext,doorknob,0.13266666666666665,0.021385353243127247,3,TV_Color
cvcl-resnext,dresser,0.12533333333333332,0.017473789896108215,3,TV_Color
cvcl-resnext,dumbell,0.12733333333333333,0.029955522584881294,3,TV_Color
cvcl-resnext,earrings,0.1413333333333333,0.031005375877955953,3,TV_Color
cvcl-resnext,fan,0.11533333333333333,0.00808290376865476,3,TV_Color
cvcl-resnext,goggle,0.1426666666666667,0.010263202878893762,3,TV_Color
cvcl-resnext,grill,0.13399999999999998,0.03984971769034255,3,TV_Color
cvcl-resnext,handbag,0.13333333333333333,0.024027761721253465,3,TV_Color
cvcl-resnext,handgun,0.09999999999999999,0.015620499351813305,3,TV_Color
cvcl-resnext,handheldgame,0.10866666666666668,0.010066445913694329,3,TV_Color
cvcl-resnext,headband,0.10666666666666667,0.028448784391135826,3,TV_Color
cvcl-resnext,helmet,0.12133333333333333,0.028448784391135826,3,TV_Color
cvcl-resnext,horse,0.104,0.010000000000000002,3,TV_Color
cvcl-resnext,keyboard,0.152,0.039344631145812006,3,TV_Color
cvcl-resnext,lantern,0.11,0.025059928172283336,3,TV_Color
cvcl-resnext,lei,0.13933333333333334,0.026407069760451148,3,TV_Color
cvcl-resnext,lipstick,0.126,0.033645207682521446,3,TV_Color
cvcl-resnext,lock,0.11599999999999999,0.031999999999999994,3,TV_Color
cvcl-resnext,meat,0.12666666666666668,0.04826316746063537,3,TV_Color
cvcl-resnext,microwave,0.12466666666666666,0.02023198787399135,3,TV_Color
cvcl-resnext,muffin,0.08666666666666667,0.004163331998932261,3,TV_Color
cvcl-resnext,nailpolish,0.1433333333333333,0.055184538897533005,3,TV_Color
cvcl-resnext,ornament,0.12666666666666668,0.02402776172125347,3,TV_Color
cvcl-resnext,pen,0.102,0.028213471959331774,3,TV_Color
cvcl-resnext,phone,0.09066666666666667,0.015534906930308057,3,TV_Color
cvcl-resnext,pillow,0.11399999999999999,0.020000000000000004,3,TV_Color
cvcl-resnext,pipe,0.14200000000000002,0.018330302779823362,3,TV_Color
cvcl-resnext,pitcher,0.12666666666666668,0.013316656236958789,3,TV_Color
cvcl-resnext,powerstrip,0.10733333333333334,0.005033222956847171,3,TV_Color
cvcl-resnext,pumpkin,0.13466666666666668,0.030353473167552568,3,TV_Color
cvcl-resnext,rabbit,0.126,0.005291502622129186,3,TV_Color
cvcl-resnext,ring,0.106,0.012165525060596434,3,TV_Color
cvcl-resnext,saddle,0.10066666666666667,0.01973153144926499,3,TV_Color
cvcl-resnext,saltandpeppershake,0.12866666666666668,0.010066445913694341,3,TV_Color
cvcl-resnext,seashell,0.11066666666666668,0.02914332399252586,3,TV_Color
cvcl-resnext,sippycup,0.126,0.02424871130596428,3,TV_Color
cvcl-resnext,sodacan,0.1466666666666667,0.026407069760451155,3,TV_Color
cvcl-resnext,stapler,0.09999999999999999,0.012000000000000004,3,TV_Color
cvcl-resnext,stool,0.134,0.03143246729100342,3,TV_Color
cvcl-resnext,suitcase,0.10066666666666668,0.0357957166897568,3,TV_Color
cvcl-resnext,telescope,0.10733333333333334,0.00901849950564579,3,TV_Color
cvcl-resnext,tennisracquet,0.09466666666666666,0.0110151410945722,3,TV_Color
cvcl-resnext,toothpaste,0.10533333333333333,0.01616580753730952,3,TV_Color
cvcl-resnext,train,0.09266666666666666,0.017009801096230768,3,TV_Color
cvcl-resnext,tree,0.10133333333333333,0.00832666399786453,3,TV_Color
cvcl-resnext,tricycle,0.08333333333333333,0.011372481406154655,3,TV_Color
cvcl-resnext,trophy,0.118,0.028844410203711913,3,TV_Color
cvcl-resnext,trumpet,0.11733333333333333,0.03202082655606087,3,TV_Color
cvcl-resnext,vase,0.10399999999999998,0.017088007490635063,3,TV_Color
cvcl-resnext,wineglass,0.108,0.03200000000000001,3,TV_Color
