model,class,mean_accuracy,std,n_seeds,test_type
siglip,abacus,1.0,0.0,3,TV_Color
siglip,apple,0.9988888888888888,0.001924500897298733,3,TV_Color
siglip,axe,1.0,0.0,3,TV_Color
siglip,babushkadolls,1.0,0.0,3,TV_Color
siglip,bagel,1.0,0.0,3,TV_Color
siglip,ball,1.0,0.0,3,TV_Color
siglip,basket,1.0,0.0,3,TV_Color
siglip,bell,1.0,0.0,3,TV_Color
siglip,bird,1.0,0.0,3,TV_Color
siglip,bonzai,1.0,0.0,3,TV_Color
siglip,bread,0.9611111111111111,0.005091750772173164,3,TV_Color
siglip,butterfly,0.9488888888888889,0.00384900179459753,3,TV_Color
siglip,calculator,0.9966666666666667,0.0,3,TV_Color
siglip,camera,0.9922222222222222,0.00384900179459753,3,TV_Color
siglip,candle,1.0,0.0,3,TV_Color
siglip,cookie,1.0,0.0,3,TV_Color
siglip,doll,0.9522222222222222,0.010183501544346328,3,TV_Color
siglip,doorknob,1.0,0.0,3,TV_Color
siglip,dresser,1.0,0.0,3,TV_Color
siglip,dumbell,1.0,0.0,3,TV_Color
siglip,earrings,0.9944444444444445,0.005091750772173164,3,TV_Color
siglip,fan,0.9966666666666667,0.0,3,TV_Color
siglip,goggle,1.0,0.0,3,TV_Color
siglip,grill,1.0,0.0,3,TV_Color
siglip,handbag,1.0,0.0,3,TV_Color
siglip,handgun,0.9822222222222221,0.001924500897298733,3,TV_Color
siglip,handheldgame,0.9944444444444445,0.005091750772173164,3,TV_Color
siglip,headband,1.0,0.0,3,TV_Color
siglip,helmet,1.0,0.0,3,TV_Color
siglip,horse,0.9922222222222222,0.005091750772173152,3,TV_Color
siglip,keyboard,1.0,0.0,3,TV_Color
siglip,lantern,0.8833333333333334,0.005773502691896262,3,TV_Color
siglip,lei,0.98,0.008819171036881943,3,TV_Color
siglip,lipstick,0.9755555555555556,0.001924500897298733,3,TV_Color
siglip,lock,1.0,0.0,3,TV_Color
siglip,meat,0.9411111111111111,0.0019245008972987971,3,TV_Color
siglip,microwave,0.9955555555555556,0.001924500897298797,3,TV_Color
siglip,muffin,0.9344444444444444,0.011706281947614146,3,TV_Color
siglip,nailpolish,0.9933333333333333,0.003333333333333355,3,TV_Color
siglip,ornament,1.0,0.0,3,TV_Color
siglip,pen,0.9933333333333333,0.008819171036882005,3,TV_Color
siglip,phone,1.0,0.0,3,TV_Color
siglip,pillow,1.0,0.0,3,TV_Color
siglip,pipe,0.9988888888888888,0.001924500897298733,3,TV_Color
siglip,pitcher,0.9966666666666667,0.003333333333333355,3,TV_Color
siglip,powerstrip,0.9855555555555555,0.005091750772173164,3,TV_Color
siglip,pumpkin,0.991111111111111,0.0069388866648871445,3,TV_Color
siglip,rabbit,0.9977777777777778,0.001924500897298733,3,TV_Color
siglip,ring,0.9944444444444445,0.005091750772173164,3,TV_Color
siglip,saddle,0.9888888888888889,0.009622504486493794,3,TV_Color
siglip,saltandpeppershake,0.9866666666666667,0.0,3,TV_Color
siglip,seashell,1.0,0.0,3,TV_Color
siglip,sippycup,1.0,0.0,3,TV_Color
siglip,sodacan,1.0,0.0,3,TV_Color
siglip,stapler,1.0,0.0,3,TV_Color
siglip,stool,0.9933333333333333,0.0,3,TV_Color
siglip,suitcase,1.0,0.0,3,TV_Color
siglip,telescope,1.0,0.0,3,TV_Color
siglip,tennisracquet,0.9933333333333333,0.006666666666666654,3,TV_Color
siglip,toothpaste,0.9866666666666667,0.013333333333333308,3,TV_Color
siglip,train,0.9888888888888889,0.006938886664887145,3,TV_Color
siglip,tree,0.9700000000000001,0.003333333333333355,3,TV_Color
siglip,tricycle,0.9977777777777778,0.001924500897298733,3,TV_Color
siglip,trophy,0.9977777777777778,0.001924500897298733,3,TV_Color
siglip,trumpet,1.0,0.0,3,TV_Color
siglip,vase,1.0,0.0,3,TV_Color
siglip,wineglass,0.9833333333333334,0.005773502691896262,3,TV_Color
