Class,Basemade,Colorsmade
ball,yes,yes
butterfly,yes,yes
muffin,yes,yes
pitcher,yes,
tennisracquet,yes,yes
phone,yes,yes
headband,yes,yes
bagel,yes,yes
grill,yes,
basket,yes,yes
bell,yes,yes
sodacan,yes,yes
microwave,yes,yes
trophy,yes,yes
fan,yes,yes
lei,yes,yes
stapler,yes,yes
exercise_equipment,,
handgun,yes,yes
seashell,yes,yes
powerstrip,yes,yes
lipstick,yes,yes
lantern,yes,yes
doorknob,yes,yes
abacus,yes,yes
jack-o-lantern,yes,yes
camcorder,yes,yes
bird,yes,yes
saddle,yes,yes
handbag,yes,yes
stool,yes,yes
toyrabbit,yes,
candleholderwithcandle,yes,yes
cushion,yes,
lock,yes,
train,yes,
bonzai,yes,
ring,yes,
goggle,yes,
trumpet,yes,
vase,yes,
axe,yes,
tricycle,yes,
toothpaste,yes,
nailpolish,,
calculator,,
pen,,
tree,,
earings,,
toyhorse,,
gamehandheld,,
apple,,
babushkadolls,,
saltpeppershake,,
dresser,,
rug,,
wineglass,,
breadloaf,,
keyboard,,
meat,,
sippycup,,
cookie,,
helmet,,
doll,,
pipe,,
christmastreeornamantball,,
telescope,,
suitcase,,
